"AF3","AF3 Mean","AF3 Std","AF3 Max","AF3 Min","F7","F7 Mean","F7 Std","F7 Max","F7 Min","F3","F3 Mean","F3 Std","F3 Max","F3 Min","FC5","FC5 Mean","FC5 Std","FC5 Max","FC5 Min","T7","T7 Mean","T7 Std","T7 Max","T7 Min","P7","P7 Mean","P7 Std","P7 Max","P7 Min","O1","O1 Mean","O1 Std","O1 Max","O1 Min","O2","O2 Mean","O2 Std","O2 Max","O2 Min","P8","P8 Mean","P8 Std","P8 Max","P8 Min","T8","T8 Mean","T8 Std","T8 Max","T8 Min","FC6","FC6 Mean","FC6 Std","FC6 Max","FC6 Min","F4","F4 Mean","F4 Std","F4 Max","F4 Min","F8","F8 Mean","F8 Std","F8 Max","F8 Min","AF4","AF4 Mean","AF4 Std","AF4 Max","AF4 Min","eyeDetection"
4263.59,4298.14,32.38,4466.15,4198.97,4047.18,4007.2,27.22,4154.36,3913.33,4271.28,4261.66,16.22,4349.23,4197.44,4160.0,4120.18,16.9,4191.79,4067.18,4383.08,4339.67,11.99,4397.95,4308.72,4650.26,4618.17,12.92,4672.31,4566.15,4091.79,4070.98,17.71,4138.97,4026.15,4629.23,4614.06,14.4,4672.82,4567.18,4196.92,4199.64,13.81,4255.9,4147.69,4222.05,4229.29,15.01,4288.21,4170.26,4193.33,4199.73,18.34,4271.28,4125.13,4273.33,4276.87,15.09,4332.31,4216.41,4594.36,4603.12,25.54,4716.41,4490.77,4306.67,4358.07,31.88,4491.28,4236.41,0
4252.31,4298.14,32.38,4466.15,4198.97,4036.41,4007.2,27.22,4154.36,3913.33,4260.0,4261.66,16.22,4349.23,4197.44,4150.26,4120.18,16.9,4191.79,4067.18,4375.38,4339.67,11.99,4397.95,4308.72,4643.59,4618.17,12.92,4672.31,4566.15,4089.23,4070.98,17.71,4138.97,4026.15,4627.18,4614.06,14.4,4672.82,4567.18,4198.46,4199.64,13.81,4255.9,4147.69,4216.92,4229.29,15.01,4288.21,4170.26,4187.18,4199.73,18.34,4271.28,4125.13,4261.03,4276.87,15.09,4332.31,4216.41,4584.62,4603.12,25.54,4716.41,4490.77,4298.46,4358.07,31.88,4491.28,4236.41,0
4251.28,4298.14,32.38,4466.15,4198.97,4038.46,4007.2,27.22,4154.36,3913.33,4260.0,4261.66,16.22,4349.23,4197.44,4150.26,4120.18,16.9,4191.79,4067.18,4377.44,4339.67,11.99,4397.95,4308.72,4641.03,4618.17,12.92,4672.31,4566.15,4085.64,4070.98,17.71,4138.97,4026.15,4628.72,4614.06,14.4,4672.82,4567.18,4211.79,4199.64,13.81,4255.9,4147.69,4226.67,4229.29,15.01,4288.21,4170.26,4188.21,4199.73,18.34,4271.28,4125.13,4261.03,4276.87,15.09,4332.31,4216.41,4588.72,4603.12,25.54,4716.41,4490.77,4303.08,4358.07,31.88,4491.28,4236.41,0
4255.38,4298.14,32.38,4466.15,4198.97,4042.56,4007.2,27.22,4154.36,3913.33,4263.59,4261.66,16.22,4349.23,4197.44,4152.31,4120.18,16.9,4191.79,4067.18,4385.13,4339.67,11.99,4397.95,4308.72,4646.67,4618.17,12.92,4672.31,4566.15,4090.77,4070.98,17.71,4138.97,4026.15,4633.33,4614.06,14.4,4672.82,4567.18,4214.87,4199.64,13.81,4255.9,4147.69,4233.33,4229.29,15.01,4288.21,4170.26,4194.87,4199.73,18.34,4271.28,4125.13,4265.64,4276.87,15.09,4332.31,4216.41,4599.49,4603.12,25.54,4716.41,4490.77,4306.67,4358.07,31.88,4491.28,4236.41,0
4258.97,4298.14,32.38,4466.15,4198.97,4039.49,4007.2,27.22,4154.36,3913.33,4261.54,4261.66,16.22,4349.23,4197.44,4149.74,4120.18,16.9,4191.79,4067.18,4389.74,4339.67,11.99,4397.95,4308.72,4653.85,4618.17,12.92,4672.31,4566.15,4097.95,4070.98,17.71,4138.97,4026.15,4631.28,4614.06,14.4,4672.82,4567.18,4208.21,4199.64,13.81,4255.9,4147.69,4228.21,4229.29,15.01,4288.21,4170.26,4195.9,4199.73,18.34,4271.28,4125.13,4263.59,4276.87,15.09,4332.31,4216.41,4596.92,4603.12,25.54,4716.41,4490.77,4307.18,4358.07,31.88,4491.28,4236.41,0
4260.0,4298.14,32.38,4466.15,4198.97,4043.08,4007.2,27.22,4154.36,3913.33,4262.05,4261.66,16.22,4349.23,4197.44,4148.21,4120.18,16.9,4191.79,4067.18,4390.26,4339.67,11.99,4397.95,4308.72,4653.85,4618.17,12.92,4672.31,4566.15,4095.9,4070.98,17.71,4138.97,4026.15,4630.26,4614.06,14.4,4672.82,4567.18,4213.33,4199.64,13.81,4255.9,4147.69,4226.67,4229.29,15.01,4288.21,4170.26,4193.33,4199.73,18.34,4271.28,4125.13,4262.05,4276.87,15.09,4332.31,4216.41,4591.79,4603.12,25.54,4716.41,4490.77,4307.18,4358.07,31.88,4491.28,4236.41,0
4258.97,4298.14,32.38,4466.15,4198.97,4048.21,4007.2,27.22,4154.36,3913.33,4264.1,4261.66,16.22,4349.23,4197.44,4151.79,4120.18,16.9,4191.79,4067.18,4387.69,4339.67,11.99,4397.95,4308.72,4646.67,4618.17,12.92,4672.31,4566.15,4090.77,4070.98,17.71,4138.97,4026.15,4630.77,4614.06,14.4,4672.82,4567.18,4215.9,4199.64,13.81,4255.9,4147.69,4230.26,4229.29,15.01,4288.21,4170.26,4191.79,4199.73,18.34,4271.28,4125.13,4263.08,4276.87,15.09,4332.31,4216.41,4591.79,4603.12,25.54,4716.41,4490.77,4303.59,4358.07,31.88,4491.28,4236.41,0
4258.97,4298.14,32.38,4466.15,4198.97,4045.13,4007.2,27.22,4154.36,3913.33,4261.54,4261.66,16.22,4349.23,4197.44,4148.21,4120.18,16.9,4191.79,4067.18,4381.03,4339.67,11.99,4397.95,4308.72,4644.62,4618.17,12.92,4672.31,4566.15,4094.87,4070.98,17.71,4138.97,4026.15,4627.18,4614.06,14.4,4672.82,4567.18,4208.21,4199.64,13.81,4255.9,4147.69,4226.15,4229.29,15.01,4288.21,4170.26,4192.31,4199.73,18.34,4271.28,4125.13,4262.05,4276.87,15.09,4332.31,4216.41,4589.74,4603.12,25.54,4716.41,4490.77,4298.97,4358.07,31.88,4491.28,4236.41,0
4258.97,4298.14,32.38,4466.15,4198.97,4043.08,4007.2,27.22,4154.36,3913.33,4262.56,4261.66,16.22,4349.23,4197.44,4138.97,4120.18,16.9,4191.79,4067.18,4380.51,4339.67,11.99,4397.95,4308.72,4649.74,4618.17,12.92,4672.31,4566.15,4101.54,4070.98,17.71,4138.97,4026.15,4629.23,4614.06,14.4,4672.82,4567.18,4208.21,4199.64,13.81,4255.9,4147.69,4225.13,4229.29,15.01,4288.21,4170.26,4194.36,4199.73,18.34,4271.28,4125.13,4264.1,4276.87,15.09,4332.31,4216.41,4586.67,4603.12,25.54,4716.41,4490.77,4303.08,4358.07,31.88,4491.28,4236.41,0
4259.49,4298.14,32.38,4466.15,4198.97,4044.1,4007.2,27.22,4154.36,3913.33,4261.03,4261.66,16.22,4349.23,4197.44,4136.92,4120.18,16.9,4191.79,4067.18,4385.13,4339.67,11.99,4397.95,4308.72,4649.74,4618.17,12.92,4672.31,4566.15,4097.44,4070.98,17.71,4138.97,4026.15,4634.36,4614.06,14.4,4672.82,4567.18,4213.33,4199.64,13.81,4255.9,4147.69,4228.72,4229.29,15.01,4288.21,4170.26,4194.87,4199.73,18.34,4271.28,4125.13,4267.69,4276.87,15.09,4332.31,4216.41,4590.26,4603.12,25.54,4716.41,4490.77,4304.62,4358.07,31.88,4491.28,4236.41,0
